Text, Words, Unique Words, Vocab Quotient, Germanic 1, Germanic 2, Latinate 1, Latinate 2, Hellenic, Unknown 1, Unknown 2 
portrait-ch1,17688,2359,13.34,82.49,63.95,8.08,16.55,0.07,9.26,19.28
portrait-ch2,14656,3171,21.64,74.97,51.14,10.5,19.6,0.09,14.39,29.08
portrait-ch3,16568,3110,18.77,76.11,51.55,12.05,23.95,0.27,11.47,24.03
portrait-ch4,9564,2365,24.73,73.33,45.76,11.51,23.11,0.18,14.96,30.87
portrait-ch5,26314,4636,17.62,74.17,50.12,11.96,23.47,0.3,13.52,25.94
